OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
UWE-3,2013-066AG,2025-06-25T14:55:50.224512,14.93005714,.0054775,97.8249,127.4571,66.6290,294.0678,0,U,39446,999,62430,.28252E-3,.2964E-4,0
UNISAT-6,2014-033C,2025-06-25T20:25:21.504576,14.85303604,.0048319,97.7436,332.5901,159.8764,200.4371,0,U,40012,999,59321,.2903E-3,.2492E-4,0
DUCHIFAT-1,2014-033M,2025-06-26T00:26:24.978624,15.29131671,.0006812,98.0934,192.7907,252.4654,107.5840,0,U,40021,999,60083,.52339E-3,.14737E-3,0
QB50P1,2014-033R,2025-06-25T16:55:02.744832,15.10694176,.0010436,98.0826,160.1958,10.5845,349.5600,0,U,40025,999,59907,.33862E-3,.5543E-4,0
LILACSAT-2,2015-049K,2025-06-26T04:31:33.620448,15.39234194,.0011098,97.5042,197.9383,100.8008,259.4487,0,U,40908,999,54078,.23198E-3,.8959E-4,0
LAPAN-A2 (IO-86),2015-052B,2025-05-31T04:27:33.271200,14.78805930,.0012733,6.0006,24.0987,338.8432,21.1169,0,U,40931,999,52304,.78118E-4,.1241E-4,0
FOX-1A (AO-85),2015-058D,2025-06-26T01:33:08.359776,14.88144761,.0158696,64.7771,303.4107,190.1439,169.6460,0,U,40967,999,6052,.31607E-3,.351E-4,0
CAS-2T & KS-1Q,2016-066G,2025-06-25T11:40:52.181184,14.43530487,.0347,98.4199,250.8103,130.2886,232.9190,0,U,41847,999,45331,.19127E-3,.1296E-4,0
ZHUHAI-1 02 (CAS-4B),2017-034B,2025-06-26T01:37:35.836032,15.65286571,.0019719,43.0046,223.4584,41.8740,318.3630,0,U,42759,999,44518,.5011E-3,.51621E-3,0
ZHUHAI-1 01 (CAS-4A),2017-034D,2025-06-26T02:05:07.661472,15.66661920,.0020725,43.0084,220.3113,46.8936,313.3660,0,U,42761,999,44521,.54667E-3,.59717E-3,0
RADFXSAT (FOX-1B),2017-073E,2025-06-25T21:13:47.966016,15.04945468,.0173808,97.5229,47.2451,110.8682,251.1252,0,U,43017,999,41166,.30395E-3,.5978E-4,0
DIWATA-2B,2018-084H,2025-06-26T02:00:06.542784,14.98384988,.0007952,98.1026,353.8379,227.9697,132.0848,0,U,43678,999,36285,.10978E-3,.1245E-4,0
ES'HAIL 2,2018-090A,2025-06-25T20:40:37.678944,1.00273642,.0002236,0.0175,339.9896,158.0438,112.1706,0,U,43700,999,2410,0,.141E-5,0
FOX-1CLIFF (AO-95),2018-099N,2025-06-24T16:25:39.841824,15.17457006,.0011586,97.4912,233.6043,152.9505,207.2334,0,U,43770,999,35884,.2825E-3,.5597E-4,0
ITASAT,2018-099AE,2025-06-25T10:02:15.303552,15.13094667,.0015366,97.4560,230.4153,146.9110,213.3086,0,U,43786,999,35885,.24129E-3,.4218E-4,0
JY1SAT (JO-97),2018-099AX,2025-06-26T02:20:09.547872,15.21142107,.0009084,97.4653,236.0280,90.9335,269.2942,0,U,43803,999,35928,.38687E-3,.8557E-4,0
UWE-4,2018-111E,2025-06-25T05:04:12.177120,15.26263591,.0012938,97.5901,89.3233,147.5693,212.6342,0,U,43880,999,35601,.32861E-3,.8462E-4,0
DUCHIFAT-3,2019-089C,2025-06-25T13:31:57.965376,15.47751551,.0003342,36.9420,253.4716,92.9343,267.1797,0,U,44854,999,30542,.50264E-3,.26774E-3,0
TIANYAN 01,2019-093C,2025-06-26T01:28:35.789376,14.85628838,.0014007,97.7923,252.3668,171.6480,188.4971,0,U,44881,999,29852,.78003E-4,.623E-5,0
RS-44 & BREEZE-KM R/B,2019-096E,2025-06-26T01:11:48.311808,12.79741491,.021628,82.5202,216.3360,257.0091,100.6782,0,U,44909,999,25683,.88718E-4,.31E-6,0
SALSAT,2020-068K,2025-06-25T20:18:11.010528,15.22923900,.0013096,97.8606,155.6283,104.3101,255.9590,0,U,46495,999,26100,.20503E-3,.4743E-4,0
LEDSAT,2021-073D,2025-06-25T04:43:12.591264,15.62662565,.0007449,97.3890,258.4083,25.6038,334.5587,0,U,49069,999,21387,.49311E-3,.44221E-3,0
XW-3 (CAS-9),2021-131B,2025-06-26T01:55:49.366272,14.40830812,.0005437,98.5108,266.3527,89.7662,270.4150,0,U,50466,999,18382,.11317E-3,.318E-5,0
GREENCUBE (IO-117),2022-080E,2025-06-24T23:58:14.368224,6.42583727,.0008684,70.1411,62.4576,6.6739,353.4035,0,U,53109,999,6911,0,-.3E-7,0
STRATOSAT-TK 1 (RS52S),2023-091B,2025-06-26T04:55:05.380896,15.41246105,.0007446,97.5519,241.2480,237.6190,122.4336,0,U,57167,999,11057,.76734E-3,.31931E-3,0
UMKA 1 (RS40S),2023-091G,2025-06-26T02:44:22.698240,15.15504425,.0012677,97.5572,232.4108,277.6738,82.3055,0,U,57172,999,10998,.19815E-3,.3691E-4,0
CUBESX-HSE 3 (RS42S),2023-091N,2025-06-26T02:26:54.037248,15.20994726,.0011857,97.5602,234.9029,263.0190,96.9696,0,U,57178,999,11012,.31678E-3,.6966E-4,0
MONITOR-3 (RS58S),2023-091Q,2025-06-26T01:57:11.158560,15.19309372,.0012481,97.5596,234.1051,266.3555,93.6252,0,U,57180,999,11007,.26678E-3,.5573E-4,0
MONITOR-4 (RS57S),2023-091S,2025-06-26T01:51:16.602336,15.19357466,.0012491,97.5591,234.0591,267.1009,92.8796,0,U,57182,999,11007,.26723E-3,.5591E-4,0
MONITOR-2 (RS39S),2023-091U,2025-06-26T01:26:04.975584,15.14506978,.001072,97.5599,232.6113,267.0403,92.9602,0,U,57184,999,10997,.15944E-3,.2872E-4,0
SVYATOBOR 1 (RS60S),2023-091X,2025-06-26T02:48:57.536640,15.19142091,.0009525,97.5602,234.8445,255.8126,104.2050,0,U,57187,999,11012,.24961E-3,.518E-4,0
VIZARD-METEO (RS38S),2023-091Z,2025-06-26T01:56:39.331392,15.23802585,.0008112,97.5590,236.8068,245.3565,114.6827,0,U,57189,999,11025,.32016E-3,.7644E-4,0
NANOZOND 1 (RS49S),2023-091AA,2025-06-26T01:35:41.474400,15.36386478,.0005684,97.5545,241.0051,228.6850,131.3904,0,U,57190,999,11054,.57064E-3,.20206E-3,0
POLYTECH-UNIVERSE 3 (RS46S),2023-091AB,2025-06-26T01:24:47.854080,15.14617368,.0015481,97.5569,232.1526,285.9925,73.9601,0,U,57191,999,10996,.16644E-3,.3015E-4,0
UTMN 2 (RS27S),2023-091AP,2025-06-26T01:48:43.069536,15.22007251,.0008599,97.5591,236.0427,248.6027,111.4291,0,U,57203,999,11020,.28137E-3,.636E-4,0
ARCCUBE 1 (RS25S),2023-091AR,2025-06-26T02:11:13.279488,15.46776856,.0005376,97.5456,243.3936,215.9471,144.1417,0,U,57205,999,11072,.78517E-3,.39404E-3,0
KUZGTU 1 (RS47S),2023-091AV,2025-06-26T04:49:16.597056,15.20375787,.0011912,97.5576,234.5343,265.0553,94.9322,0,U,57217,999,11012,.28189E-3,.6079E-4,0
SONATE-2,2024-043Q,2025-06-26T02:33:57.284064,15.36218271,.0011791,97.5157,308.6225,60.8100,299.4322,0,U,59112,999,7287,.34764E-3,.1222E-3,0
MESAT1,2024-125G,2025-06-26T01:15:34.710912,15.36597715,.0020181,97.2770,28.4903,80.2945,280.0578,0,U,60209,999,5448,.37924E-3,.13569E-3,0
OOV-CUBE (TUBSAT-30),2024-128F,2025-06-25T23:48:27.505728,15.00336298,.0053292,61.9958,25.3583,58.1397,302.4863,0,U,60240,999,5262,.14522E-3,.1671E-4,0
COLIBRI-S (RS67S),2024-199M,2025-06-26T01:20:45.097728,15.32926620,.0013752,97.3547,45.6190,120.9767,239.2829,0,U,61746,999,8261,.30361E-3,.9607E-4,0
HORS 3 (RS81S),2024-199U,2025-06-26T02:21:15.681888,15.34376088,.0012023,97.3513,45.7761,127.0048,233.2297,0,U,61753,999,8263,.36314E-3,.12042E-3,0
HORS 4 (RS82S),2024-199V,2025-06-26T02:13:40.387584,15.35137602,.0012156,97.3510,45.9261,126.7756,233.4605,0,U,61754,999,8264,.36896E-3,.12538E-3,0
